voltage,cap
0.1,7.58E-10
0.2,7.59E-10
0.3,7.59E-10
0.4,7.59E-10
0.5,7.59E-10
0.6,7.59E-10
0.7,7.61E-10
0.8,7.63E-10
0.9,7.74E-10
1,8.09E-10
1.1,8.87E-10
1.2,9.66E-10
1.3,1.04E-09
1.4,1.10E-09
1.5,1.16E-09
1.6,1.21E-09
1.7,1.25E-09
1.8,1.29E-09
1.9,1.32E-09
2,1.35E-09
2.1,1.37E-09
2.2,1.39E-09
2.3,1.41E-09
2.4,1.43E-09
2.5,1.45E-09
2.6,1.46E-09
2.7,1.47E-09
2.8,1.49E-09
2.9,1.50E-09
3,1.51E-09
3.1,1.52E-09
3.2,1.53E-09
3.3,1.54E-09
3.4,1.54E-09
3.5,1.54E-09
3.6,1.56E-09
3.7,1.57E-09
3.8,1.58E-09
3.9,1.58E-09
4,1.56E-09
4.1,1.56E-09
4.2,1.56E-09
4.3,1.58E-09
4.4,1.60E-09
4.5,1.60E-09
4.6,1.60E-09
4.7,1.60E-09
4.8,1.60E-09
4.9,1.61E-09
5,1.62E-09
5.1,1.64E-09
5.2,1.64E-09
5.3,1.64E-09
5.4,1.65E-09
5.5,1.65E-09
5.6,1.65E-09
5.7,1.65E-09
5.8,1.65E-09
5.9,1.66E-09
6,1.63E-09
6.1,1.65E-09
6.2,1.65E-09
6.3,1.65E-09
6.4,1.68E-09
6.5,1.68E-09
6.6,1.68E-09
6.7,1.69E-09
6.8,1.69E-09
6.9,1.69E-09
7,1.69E-09
7.1,1.69E-09
7.2,1.70E-09
7.3,1.70E-09
7.4,1.70E-09
7.5,1.70E-09
7.6,1.70E-09
7.7,1.70E-09
7.8,1.70E-09
7.9,1.71E-09
8,1.71E-09
8.1,1.71E-09
8.2,1.71E-09
8.3,1.71E-09
8.4,1.71E-09
8.5,1.71E-09
8.6,1.72E-09
8.7,1.72E-09
8.8,1.72E-09
8.9,1.72E-09
9,1.72E-09
9.1,1.72E-09
9.2,1.72E-09
9.3,1.72E-09
9.4,1.72E-09
9.5,1.73E-09
9.6,1.73E-09
9.7,1.73E-09
9.8,1.73E-09
9.9,1.73E-09
